,vvd,d66,glpvda,pvv,cda,sp,fvd,pvdd,cu,volt,ja21,sgp,denk,50plus,bbb,bij1,pp,bnvl,nsc,splinter,lp,lef,svn
vee,-1,1,1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1
lagere-prijs-benzine,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1
eigen-risico-zorgverzekering,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1
kiezen-per-regio,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,1
ov-voor-65-plussers,-1,-1,-1,1,-1,1,1,-1,-1,0,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1
co2-opslag,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
2%-voor-defensie,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,1
cultuuronderwijs,1,1,1,-1,1,-1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1
kerncentrales,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1
vliegbelasting,-1,1,1,-1,1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1
kopen-huurwoning,1,1,1,1,1,-1,1,-1,-1,0,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,-1
kinderopvang-zonder-winstoogmerk,-1,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1
gezinshereniging,1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,1
belasting-op-vermogen,-1,1,1,1,-1,1,-1,1,1,0,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1
controle-op-relligieuze-groepen,1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1
stikstof,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1
afschaffen-kostendelersnorm,-1,-1,1,-1,-1,1,1,1,0,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1
uitbreiding-europese-unie,-1,-1,-1,1,-1,1,1,1,0,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1
risicoprofilering-op-basis-van-nationaliteit,-1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1
elektrische-autos,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,1
hoger-minimumloon,-1,1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,-1
bouwen-op-landbouwgrond,1,1,1,-1,1,1,-1,1,-1,1,0,-1,1,1,-1,1,-1,-1,-1,1,1,0,-1
referendum,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1
vuurwerk,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1
duurzame-bedrijven,-1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,0,-1,1,1,-1,1,1,-1
voltooid-leven,1,1,1,0,-1,-1,-1,1,-1,1,-1,-1,-1,1,0,1,1,1,-1,1,1,1,1
ontwikkelingshulp-en-asielszoekers,1,1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,1
huurstijging,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,1,1
minimumstraffen,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1
