,pvv,glpvda,vvd,nsc,d66,bbb,cda,sp,denk,pvdd,fvd,sgp,cu,volt,ja21,vvdi,bvnl,bij1,lp,50plus,pp,fnp,vv,dl
hra-afshaffen,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1
aanwezige-demonstraties-registreren,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1
leeftijd-minimumloon-omlaag,1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,-1
lelystad-airport,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1
voorrang-statushouders,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1
leeftijdsgrens-sociale-media,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1
ontwikkelingshulp,-1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1
controle-religieuze-les,1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1
minder-kinderbijslage-hoge-inkomens,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1
minder-geld-publieke-omroep,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1
palestijnse-staat,-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1
heffing-plastic-weg,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1
huurstijging-sociale-huurwoning,1,1,-1,1,1,-1,1,1,1,1,-1,0,1,1,-1,1,-1,1,-1,1,1,1,-1,1
meer-geld-onderzoek,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,1
wolven-afschieten,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,1,1,-1,1,1,1
enkelband-als-straf,-1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1
kortere-ww,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,0,-1
minder-stikstof,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1
abortus-uit-wvs,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1
geen-verhoging-bijstand,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,-1
minder-vee,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1
illegaal-verblijf-strafbaar,1,-1,1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1
rekeningrijden,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1
eigen-risico-hoger,-1,-1,1,0,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1
geen-euthanasie-psychisch-lijden,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
bouw-op-landbouwgrond,-1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1
profileren-nationaliteit,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,1
minimumleeftijd-sekswerk-omhoog,1,1,-1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,1
meer-geld-defensie,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
kerncentrales,1,-1,1,1,1,1,1,-1,0,-1,1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,1
